লেখক	বিষয়	পত্রাঙ্ক
অধ্যাপক শ্রীবিনয়কুমার সরকার	হিন্দুধর্ম্মের দিগ্বিজয় ও রামকৃষ্ণ-সাম্রাজ্য	৬১৯
শ্রীজগৎপতি চৌধুরী	শ্রীরামকৃষ্ণ	৬২৩
	ভাব-ধারা	৬২৮
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, ভাগবতরত্ন, এম্‌-এ, পি-আর-এস্‌	শ্রীচৈতন্যের জীবনী আলোচনার তিনটী ধারা	৬৩৩
অধ্যাপক শ্রীনিত্যগোপাল বিদ্যাবিনোদ	ঠাকুর শ্রীরামকৃষ্ণ	৬৩৭
শ্রীজিতেন্দ্রনাথ সরকার	জাগ্রত জাপান	৬৪৩
শ্রীমহেন্দ্রনাথ দাস	শ্রীরামকৃষ্ণ-প্রশস্তি	৬৪৫
স্বামী ত্যাগীশ্বরানন্দ	প্রয়াগে অর্দ্ধকুম্ভ	৬৪৬
শ্রীদিলীপকুমার রায়	প্রকাশভেদ	৬৪৯
শ্রীবটকৃষ্ণ সাহা	পল্লীর অর্থনৈতিক দুর্গতি ও তাহার প্রতিকার	৬৫০
শ্রীবলাই দেবশর্ম্মা	মহাভারতীয় সভ্যতা	৬৫৪
শ্রীসন্ধ্যা দেবী	স্বামী বিবেকানন্দ স্মরণে	৬৫৭
স্বামী বিবেকানন্দ	জ্ঞান-যোগ-প্রসঙ্গ	৬৫৮
	মাধুকরী	৬৬২
	সমালোচনা	৬৬৪
	শ্রীরামকৃষ্ণ সঙ্ঘ-বার্ত্তা	৬৬৭
	পরলোকে	৬৬৯
	শ্রীরামকৃষ্ণ-শতবার্ষিকী সংবাদ	৬৭০
	শ্রীরামকৃষ্ণ মিশন	৬৭৪
