লেখক	বিষয়	পত্রাঙ্ক
	ফ্রান্সে বেদান্ত প্রচার	৫৭
শ্রীসুধাংশুবিমল মুখার্জ্জি, এম্‌-এ	শ্রীরামকৃষ্ণ	৬২
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	সত্যের সন্ধান	৬৮
স্বামী চিদ্‌ঘনানন্দ	অচিন্ত্যভেদাভেদবাদ ও অদ্বৈতবাদ	৬৯
শ্রীকুমুদবন্ধু সেন	নিহিলিষ্ট আন্দোলন	৭৭
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	৮০
	ইলোরা ও অজন্তার পথে	৮৫
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	৮৯
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন,এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	৯৭
স্বামী শ্রদ্ধানন্দ	ত্রয়ঃ স্বপ্নাঃ	১০১
ঁজগৎমোহন সেন	রামকৃষ্ণ পরমহংস	১০৬
	সমালোচনা	১০৬
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১০৯
	বিবিধ সংবাদ	১১২
