লেখক	বিষয়	পত্রাঙ্ক
	ফ্রান্সে বেদান্ত প্রচার	১১৩
অধ্যাপক শ্রীঅক্ষয় কুমার বন্দ্যোপাধ্যায়, এম্‌-এ	ভাব ও ভগবান্‌	১১৮
শ্রীপ্রফুল্লনাথ বন্দ্যোপাধ্যায়	মহাপুরুষজীর উদ্দেশ্যে	১২৫
অধ্যাপক শ্রীগোবিন্দ চন্দ্র দেব, এম্‌-এ	দরিদ্র-নারায়ণ-সেবা ও সাম্যবাদ	১২৬
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	১৩৬
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন,এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	১৪৩
শ্রীযতীন্দ্র মোহন দাস	আমরা	১৪৭
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	১৪৮
	ভগিনী নিবেদিতার অপ্রকাশিত পত্র	১৫৪
স্বামী অপূর্বানন্দ	কৈলাস ও মানস-সরোবর	১৫৫
	সমালোচনা	১৬১
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১৬৬
	বিবিধ সংবাদ	১৬৮
