লেখক	বিষয়	পত্রাঙ্ক
জনৈক সন্ন্যাসী	শ্রীশ্রীরামকৃষ্ণের ষোড়শী পূজা	৪২৭
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, ভাগবতরত্ন, এম্‌-এ, পি-আর-এস্‌	শ্রীচৈতন্যের জীবনী আলোচনার তিনটী ধারা	৪৩০
	ভাব-ধারা	৪৩৩
স্বামী জগদীশ্বরানন্দ	ঋষি চুয়াংজুর জীবনী ও বাণী	৪৩৬
অধ্যাপক শ্রীনিত্যগোপাল বিদ্যাবিনোদ	ঠাকুর শ্রীরামকৃষ্ণ	৪৪১
শ্রীরাসমোহন চক্রবর্ত্তী, পি-এইচ্‌-বি, পুরাণরত্ন, বিদ্যাবিনোদ	উপনয়ন অনুষ্ঠান ও প্রাচীন ভারতীয় শিক্ষার আদর্শ	৪৪৬
শ্রীজিতেন্দ্রনাথ সরকার	জাগ্রত জাপান	৪৫১
শ্রীরমণীকুমার দত্তগুপ্ত, বি-এল	শ্রীরামকৃষ্ণ ও বৌদ্ধধর্ম্ম	৪৫৩
শ্রীবলাই দেবশর্ম্মা	মহাভারতীয় সভ্যতা	৪৬২
শ্রীমণীন্দ্রকৃষ্ণ গুপ্ত	শ্রীশ্রীঠাকুর রামকৃষ্ণদেবের পুণ্যস্মৃতি	৪৬৬
স্বামী সুন্দরানন্দ	দক্ষিণ-ভারতের পথে	৪৭০
ব্রহ্মচারী বীরেশ্বর চৈতন্য	শ্রীরামকৃষ্ণ-জীবনে ঈশ্বর-আবেশ	৪৭৩
শ্রীপ্রভাময়ী মিত্র	পূজাঞ্জলি	৪৭৬
	সমালোচনা	৪৭৭
	শ্রীরামকৃষ্ণ-শতবার্ষিকী সংবাদ	৪৮০
	শ্রীরামকৃষ্ণ-শতবার্ষিকী প্রবন্ধ ও রচনা প্রতিযোগিতা	৪৯৮
