লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	বিশ্বমানবের বিপত্তি	১৯৩
অধ্যাপক শ্রীজগদীশ্চন্দ্র মিত্র, এম্‌-এ, কাব্যতীর্থ	অরমৈতি-অরমতি	১৯৮
শ্রীভুবনমোহন বিজলী	রামায়ণ	২০২
শ্রীকালিদাস রায়	সাহিত্যে শ্রীরাধা	২০৩
শ্রীতারাকুমার ঘোষ, এম্‌-এ	অভিযাত্রিক	২০৫
অধ্যাপক শ্রীশীতাংশু শেখর বাগছি, এম-এ্‌, বি-এল্‌,সাংখ্যতীর্থ	ন্যায়দর্শনে তর্কের স্বরূপ	২০৬
স্বামী দিব্যাত্মানন্দ	রণছোড়জী	২০৯
শ্রীইলা ঘোষ	মুক্তি	২১১
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	২১২
অধ্যাপক শ্রীসুবর্ণ কমল রায়, এম্‌-এস্‌সি	রাসায়নিক বিশ্লেষণে রঞ্জক	২১৪
স্বামী কৈলাসানন্দ	শ্রীরামকৃষ্ণ-তাঁহার জীবনী ও কার্য্যাবলী	২১৬
	শ্রীশ্রীমায়ের পত্র	২১৮
শ্রীকালিদাস রায়	গঙ্গাস্তব	২১৯
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	২২০
শ্রীফণীভূষণ চক্রবর্ত্তী	সন্ন্যাসী	২৩০
শ্রীকামিনী কুমার রায়, এম্‌-এ	অমানিশা	২৩১
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	২৩৫
	বিবিধ সংবাদ	২৩৮
