লেখক	বিষয়	পত্রাঙ্ক
	শ্রীশ্রীমায়ের কথা	৪৪৯
শ্রীতারিণীশঙ্কর সিংহ	সাধনা ও তাহার ক্রম	৪৫৯
শ্রীমহেন্দ্রনাথ দত্ত	শ্রীমৎ স্বামী বিবেকানন্দের জীবনের কয়েকটি ঘটনাবলী	৪৬৪
স্বামী সিদ্ধানন্দ	লাটুমহারাজের সংক্ষিপ্ত জীবনী	৪৭০
শ্রীঅক্ষয়কুমার রায়	সুখের সন্ধান	৪৭৮
শ্রীঅঞ্জিতনাথ সরকার	সংসার	৪৮২
শ্রীবিহারীলাল সরকার	কতিপয় দর্শনের সংক্ষিপ্ত বিবরণ	৪৯০
শ্রীবিবেকানন্দ মুখোপাধ্যায়	সায়াহ্ন চিন্তা	৪৯৪
	মাধুকরী	৪৯৬
শ্রীবিমলাচরণ বন্দ্যোপাধ্যায়	কর্ম্ম	৫০৬
শ্রীমতী নিহারিকা দেবী	নিবেদিতা	৫০৮
	গ্রন্থ-পরিচয়	৫১০
	সঙ্ঘ-বার্ত্তা	৫১১
