লেখক	বিষয়	পত্রাঙ্ক
স্বামী অখণ্ডানন্দ	বাণী	৩৪৩
অধ্যাপক শ্রীউপেন্দ্রচন্দ্র তর্কাচার্য্যঃ	শ্রীশ্রীরামকৃষ্ণ-মাহাত্ম্যম	৩৪৪
স্বামী সুন্দরানন্দ	ভাব-ধারা	৩৪৫
অধ্যাপক শ্রীশম্ভুনাথ রায়, এম-এ	মিথ্যা জ্ঞান	৩৪৯
স্বামী পবিত্রানন্দ	স্মৃতিপূজায় অগ্নিপরীক্ষা	৩৫৩
শ্রীমণীন্দ্রকৃষ্ণ গুপ্ত	শ্রীশ্রীঠাকুর রামকৃষ্ণদেবের পুণ্যস্মৃতি	৩৫৯
অধ্যাপক শ্রীঅক্ষয়কুমার বন্দ্যোপাধ্যায়, এম্‌-এ	হিন্দু দর্শন	৩৬৩
শ্রীজগৎমোহন সেন, বি-এ, বি-টি	মানব-দেবতা	৩৭১
শ্রীজিতেন্দ্রনাথ সরকার	জাগ্রত জাপান	৩৭২
শ্রীস্মরজিৎ দত্ত, এম-এ, বি-টি,	শ্রীশ্রীরামকৃষ্ণের বিবাহ-রহস্য	৩৭৪
অধ্যাপক শ্রীসুবর্ণকমল রায়, এম্‌-এস্‌-সি	রাসায়নিক সৃষ্টিতত্ত্ব	৩৭৭
শ্রীতামসরঞ্জন রায়, এম-এস্‌-সি, বি-টি	অবতার প্রসঙ্গ ও শ্রীশ্রীরামকৃষ্ণ	৩৮০
শ্রীপূর্ণেন্দু রায়	রামকৃষ্ণ-প্রশস্তি	৩৮৬
শ্রীবলাই দেবশর্ম্মা	শান্তিপর্ব্ব	৩৮৭
শ্রীপ্রকাশচন্দ্র গুপ্ত	মহাকবি গিরিশচন্দ্র	৩৯১
	মাধুকরী	৩৯৪
	শ্রীরামকৃষ্ণ-শত বার্ষিকী সংবাদ	৩৯৬
	পরলোকে	৪২৫
	মহাকবি গিরিশচন্দ্রের জন্মোৎসব	৪২৬
	রাণী রাসমণির স্মৃতি বার্ষিকী	৪২৬
	প্রচ্ছদপট	৪২৬
	উদ্বোধন	৪২৬
