লেখক	বিষয়	পত্রাঙ্ক
	কথাপ্রসঙ্গে	১২৯
গুরুদাস বর্ম্মণ	শ্রীরামকৃষ্ণ ও দেবেন্দ্রনাথ	১৩১
স্বামী নির্লেপানন্দ	জাগ্রত	১৩৫
শ্রীসুধীরচন্দ্র চাকী	কবি বিবেকানন্দ	১৪৭
শ্রীমায়াবাদী	ভক্তি	১৫৩
বাসুদেবানন্দ	সভ্যতায় বর্ব্বরতার বীজ	১৬৪
শ্রীগঙ্গাগোবিন্দ রায়	অন্নসমস্যা ও বর্ত্তমান শিক্ষাপ্রণালী	১৭১
শ্রীবলাই দেবশর্ম্মা	স্বামী বিবেকানন্দের জীবন ধর্ম্ম	১৭৭
	স্বামী প্রকাশানন্দ	১৮১
ব্রহ্মচারী প্রিয়চৈতন্য	মীমাংসা	১৮৬
	সমালোচনা	১৮৭
	সংঘ-বার্ত্তা	১৮৯
