লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৩৩৭
	কথাপ্রসঙ্গে	৩৩৮
স্বামী হিরণ্ময়ানন্দ	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন মহাসম্মেলন (১৯৮০)	৩৪৪
ডক্টর অনিলেন্দু চক্রবর্তী	ভাসমান	৩৫০
শ্রীমতী চিত্রা মিত্র	সংসার-মাঝে তুমি	৩৫০
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	৩৫১
ডক্টর তারকনাথ ঘোষ	ঋষিকৃষ্ণ-আখ্যায়িকা	৩৫৪
শ্রীসুরেন্দ্রনাথ চক্রবর্তী	শ্রীরামকৃষ্ণের ভিক্ষামাতা ঃ তথ্যানুসন্ধান	৩৫৯
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	৩৬৯
	সমালোচনা	৩৭৩
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৩৭৪
	বিবিধ সংবাদ	৩৭৫
