লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১৪৫
	কথাপ্রসঙ্গে	১৪৬
স্বামী বীরেশ্বরানন্দ	ভারতীয় যুবকদের প্রতি আহ্বান	১৪৮
স্বামী মুখ্যানন্দপুরীবিরচিতম	লঘুবিবেকানন্দম	১৫০
শ্রীমদনমোহন মুখোপাধ্যায়	বুদ্ধং শরণং গচ্ছামি	১৫২
স্বামী লোকেশ্বরানন্দ	পাশ্চাত্য দেশে কিছুদিন	১৫৩
শ্রীমতী চিত্রা মিত্র	প্রভু মোর হৃদয়ে বিরাজে	১৫৯
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	১৬০
স্বামী পরাশরানন্দ	বৌদ্ধসঙ্ঘ	১৬৪
শ্রীমতী হিমানী রায়	আশা জাগে	১৬৮
শ্রীগুরুদাস মুখোপাধ্যায়	আর্তি	১৬৮
ডক্টর শশাঙ্কভূষণ বন্দ্যোপাধ্যায়	বিবর্তনবাদ ও স্বামী বিবেকানন্দ	১৬৯
	সমালোচনা	১৭৭
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	১৮০
	বিবিধ সংবাদ	১৮৪
	উদ্যমশীল মার্কিণ যুবক	১২৯
বাবু শরচ্চন্দ্র চক্রবর্ত্তী লিখিত	প্রশ্নোত্তর	১৩৩
	স্বামী বিবেকানন্দ	১৩৪
	রামকৃষ্ণ জন্মোৎসব	১৩৪
	প্রাপ্তিস্বীকার	১৩৪
পণ্ডিতবর প্রমথনাথ তর্কভূষণানুবাদিত	ভগবদ্‌গীতা-শঙ্করভাষ্যানুবাদ	১৩৪
	ঈশ্বর কি কেবল দয়াময়?	১৩৫
