লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	ভগবান শ্রীরামকৃষ্ণদেবের জন্মোৎসব উপলক্ষে নিউ দিল্লী রামকৃষ্ণ মিশন কর্তৃক গত ২০শে মার্চ তারিখে আহূত জনসভায় পণ্ডিত জওহরলাল নেহেরুর অভিভাষণ	২২৫
ডক্টর রাধাগোবিন্দ বসাক, এম-এ, পিএইচডি	ঠাকুর রামকৃষের ব্রহ্ম-দর্শন	২৩১
শ্রীকালিদাস রায়, কবিশেখর	সাধকপ্রবর বিজয়কৃষ	২৩৬
শ্রীরাজমোহন নাথ, বি-ই,তত্ত্বভূষণ	চর্য্যাপদের কৌলিক ব্যাখ্যা	২৩৬
শ্রীফণিভূষণ বিশ্বাস, এম-এ	কামনা	২৪২
স্বামী বাসুদেবানন্দ	প্রাক্‌-শংকর বৌদ্ধ-প্রগতি	২৪৩
শ্রীসুরেন্দ্রমোহন পঞ্চতীর্থ, এম্‌-এ	দেহ,মন ও আত্মা	২৪৭
শ্রীপূর্ণেন্দু গুহরায়, কাব্য-শ্রী	বঞ্চিত কি হ'য়ে র'ব?	২৪৯
শ্রীঅমূল্য নাগ-চৌধুরী, নাট্যভূষণ	নটগুরু গিরিশচন্দ্রের নাটক ও অভিনয়-প্রণালী	২৫০
শ্রীননীগোপাল চক্রবর্তী, বি-এ	সাধক একনাথ	২৫৩
শ্রীভোলানাথ দাস	আলো ও আঁধার	২৬০
শ্রীদেবেন্দ্রনাথ চট্টোপাধ্যায়, বি-এ, কাব্যতীর্থ	স্বরের শক্তি	২৬১
গর্ডন কলার	অনাথ শিশুদের প্রতি রাষ্ট্রের দায়িত্ব	২৬৫
	সমালোচনা	২৬৮
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	২৭২
	বিবিধ সংবাদ	২৭৫
