লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	স্বামী বিবেকানন্দের নেশন-গঠন-প্রণালী	৫৭
শ্রীকালিদাস রায়	দুর্দ্দিনের বন্ধু	৬৪
শ্রীঅনিলবরণ রায়	"যাহা ইচ্ছা হয় কর"	৬৫
রাজা শ্রীপূর্ণেন্দু গুহরায়	ঠাকুর	৬৯
অধ্যাপক শ্রীগৌরগোবিন্দ গুপ্ত	শ্রীশ্রীরামকৃষ্ণ ভাবামৃত (দ্বিতীয়োল্লাস)	৮
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	৭৪
স্বামী বিবেকানন্দ	মা কালী	৮০
শ্রীযতীন্দ্রমোহন ভট্টাচার্য, এম্‌-এ, তত্ত্বরত্নাকর	বাঙলা অভিধানের উপাদান	৮১
অধ্যাপক শ্রীসুবর্ণকমল রায়, এম্‌-এস্‌-সি	রাসায়নিক পরমাণুর গঠনভঙ্গি	৮৫
শ্রীসতীশ বিদ্যার্থী	মীমাংসা	৮৮
স্যার্‌ মরিস্‌ গয়ার্‌ (চিফ্‌ জাষ্টিস্‌, ফেডারেল কোর্ট)	স্বামী বিবেকানন্দ	৮৯
স্বামী অপূর্বানন্দ	কৈলাস ও মানস-সরোবর	৯২
	কাশী শ্রীরামকৃষ্ণ-অদ্বৈতাশ্রমের সংক্ষিপ্ত ইতিবৃত্ত	৯৭
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	১০২
	শ্রীরামকৃষ্ণ মঠ ও মিশন-সংবাদ	১০৯
	বিবিধ সংবাদ	১১১
	রামকৃষ্ণ মশন-বিদ্যামন্দির	১১২
