লেখক	বিষয়	পত্রাঙ্ক
	কথাপ্রসঙ্গে	১
গুরুদাস বর্ম্মণ	শ্রীরামকৃষ্ণ ও দেবেন্দ্রনাথ	৩
ব্রহ্মচারী কুমারচৈতন্য	জাগ্রত	১১
ডাঃ শ্রীঅম্বিকাচরণ দত্ত গুপ্ত, সিভিল-সার্জ্জন	মাতৃত্ব ও শিশুমঙ্গল	১৫
শ্রীবিবেকানন্দ মুখোপাধ্যায়	সন্ধ্যাতারা	২১
শ্রীমায়াবাদী	ভক্তি	২৭
শ্রীশিবচন্দ্র দত্ত, এম-এ	জিজ্ঞাসা	৪০
বাসুদেবানন্দ	শ্রীনিম্বার্ককৃত দ্বৈতাদ্বৈত-দর্শনভাষ্যম	৪১
শ্রীবলাই দেবশর্ম্মা	স্বামী বিবেকানন্দের জীবন ধর্ম্ম	৪৮
শ্রীশিবচন্দ্র দত্ত, এম-এ	ভারতের জাগরণের উপায়	৫৩
শ্রীশ্যামদাস চট্টোপাধ্যায়	ঈশ্বরের আলো	৫৭
	সমালচনা	৫৯
	স্বামী শ্রদ্ধানন্দ	৬৪
