লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	জাপানে বৌদ্ধধর্ম্ম	১৬৯'
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, এম-এ, পি-আর-এস,পি-এইচ্‌-ডি,ভাগবতরত্ন	অসমীয়াগ্রন্থে শ্রীচৈতন্য ও তাঁহার পরিকরগণের কথা	১৭৩
শ্রীমতী অপর্ণা দেবী	বৈশাখী কুসুম	১৭৭
অধ্যাপক শ্রীমাখনলাল রায় চৌধুরী, এম-এ, পি-আর-এস	মোঘল রাজদরবারে হিন্দী	১৭৮
ব্রহ্মচারী বীরেশ্বর চৈতন্য	বিরাটের আবিষ্কার-বিজ্ঞানে ও ধর্ম্মে	১৮১
শ্রীশিবদাস সুর	বুদ্ধ পূর্ণিমা	১৮৫
শ্রীঅনিলবরণ রায়	যুগে যুগে	১৮৬
শ্রীরমণীকুমার দত্ত গুপ্ত, বি-এল	ভগ্‌বান বুদ্ধ ও তাঁহার ধর্ম্মমত	১৮৮
স্বামী সিদ্ধানন্দ	অদ্ভুতানন্দ জীবন কথা	১৯৬
শ্রীকলিঙ্গনাথ ঘোষ, এম-এ	স্বামীজির দেশাত্মবোধ	২০০
শ্রীবিমলচন্দ্র ঘোষ	লীলাময়	২০৪
শ্রীকানাইলাল পাল,এম-এ,বি-এল	রসবিচার-মধুররস	২০৬
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	২১১
	মাধুকরী	২১৫
	সমালোচনা	২২১
