লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	পশ্চিম-পাকিস্তানের বাস্তুত্যাগীদের বৃত্তান্ত	১১৩
শ্রীকালিদাস রায়, কবিশেখর	মহাপ্রয়াণ-পথে কবীর	১১৭
শ্রীঅনিলবরণ রায়	মুক্তি ও সিদ্ধি	১১৮
স্বামী শ্রদ্ধানন্দ	জীবন-মরণ	১২০
স্বামী জগদীশ্বরানন্দ	স্বামী নিরঞ্জনানন্দ	১২১
শ্রীমণীন্দ্র ভূষণ গুপ্ত	গুপ্তযুগের স্তম্ভ	১২৪
শ্রীরবি গুপ্ত	অনুরাগী	১২৬
শ্রীকালিপদ চক্রবর্ত্তী,এম-এ,সাহিত্যবিনোদ	স্বামী বিবেকানন্দ ও কর্ম্মযোগ	১২৭
	শ্রীমৎ স্বামী অখণ্ডানন্দের পত্র	১৩১
হেলেন য়্যাষ্ট্‌	বন্দিশালায় মুক্ত জীবন	১৩২
শ্রীরমণীকুমার দত্তগুপ্ত,বি-এল্‌,সাহিত্যরত্ন	ক্ষাত্রবীর্য ও ব্রহ্মতেজের মূর্তপ্রতীক স্বামী বিবেকানন্দ	১৩৪
ব্রহ্মচারী বাসুদেব	ঋষি নাম্মালোয়ার	১৩৮
 শ্রীসুরেন্দ্রনাথ চক্রবর্ত্তী, এম-এ	'যোগক্ষেমং বহাম্যহম্‌'	১৪১
ডাঃ শচীন সেনগুপ্ত	প্রতীক্ষা	১৪৩
ডাঃ সারদাচরণ দাস	বিবেক-বৈরাগ্য	১৪৪
শ্রী­—	"তুমি নিবে তুলে"	১৪৫
শ্রীমোহিনীমোহন দত্ত	দিব্যমাতার দিব্যপ্রকাশ	১৪৬
ডক্টর অভীশ্বর সেন, এম্‌-এস্‌সি, পিএইচ-ডি	অজ্ঞাত রাসায়নিক	১৪৭
শ্রী—	স্বামী স্বরূপানন্দ	১৪৯
শ্রীযতীন্দ্রনাথ দাস	মায়ের আশীষ	১৫৫
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১৫৬
	বিবিধ সংবাদ	১৬০
