লেখক	বিষয়	পত্রাঙ্ক
	মহাসমাধি	২২৫
স্বামী সুন্দরানন্দ	শিখ-ধর্ম্মের প্রগতি	২২৭
	ঋষি-বামদেব	২৩১
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, এম-এ, পি-আর-এস,পি-এইচ্‌-ডি,ভাগবতরত্ন	অসমীয়াগ্রন্থে শ্রীচৈতন্য ও তাঁহার পরিকরগণের কথা	২৩২
মন্দলেশ্বর শ্রীমৎ স্বামী মহাদেবানন্দ গিরি মহারাজ	বেদান্তে ঋষিপরম্পরা	২৩৬
অধ্যাপক শ্রীমাখনলাল রায় চৌধুরী, এম-এ, পি-আর-এস	মোঘল রাজদরবারে হিন্দী	২৪২
	স্বামী তুরীয়ানন্দের পত্র	২৪৫
স্বামী জ্যোতিশ্বরানন্দ	মধ্য-ইউরোপে বেদান্ত	২৪৬
শ্রীগদাধর সিংহরায়,এম-এ,বি-এল	সত্যের সন্ধান ও সাধন	২৫৩
স্বামী অপূর্ব্বানন্দ	শ্রীমৎ স্বামী বিজ্ঞানানন্দ মহারাজের পুণ্যস্মৃতি তর্পণে	২৫৭
শ্রীরামেন্দু দত্ত	করুণাময়	২৬৪
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	২৬৫
	সমালোচনা	২৬৯
	বেলুড়মঠে শ্রীরামকৃষ্ণ-মন্দির	২৭১
	স্বামী নির্ম্মলানন্দ মহারাজের মহাসমাধি	২৭২
	সংবাদ	২৭২
