লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	মন্ত্রযান বজ্রযান সহযান	১৬৯
স্বামী বিবেকানন্দ	শান্তি	১৭৪
অধ্যাপক শ্রীপ্রিয়রাঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	বঙ্কিমচন্দ্রের উপকথায় ইন্দিরা, রাধারাণী ও যুগলাঙ্গুরীয়	১৭৫
স্বামী রমানন্দ	'ত্যাগ দ্বারা ভোগ কর'	১৭৯
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	১৮৫
শ্রীরাসমোহন চক্রবর্ত্তী, পি-এইচ-বি, পুরাণরত্ন,বিদ্যাবিনোদ	চরমতত্ত্বে শ্রীবুদ্ধ ও শ্রীরামকৃষ্ণ	১৮৮
স্বামী প্রেমঘনানন্দ	হিন্দুর চোখে একজন মুসলমান তপস্বিনী	১৯২
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	১৯৮
শ্রীবিমলচন্দ্র ঘোষ	নাট্যকার	২০৩
স্বামী অপূর্বানন্দ	কৈলাস ও মানস-সরোবর	২০৪
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	২০৯
	সমালোচনা	২১৩
	শ্রীমৎ স্বামী নির্ভরানন্দজীর মহাপ্রয়াণ	২১৬
	পরলোকে জে, এম্‌, বিলিমোরিয়া	২১৭
	শ্রীরামকৃষ্ণ মঠ ও মিশন-সংবাদ	২১৭
	বিবিধ সংবাদ	২২৩
