লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	'উদ্বোধনে'র নববর্ষ	১
স্বামী চিদ্‌ঘনানন্দ	অচিন্ত্যভেদাভেদবাদ ও অদ্বৈতবাদ	৬
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	১৮
শ্রীযতীন্দ্রমোহন ভট্টাচার্য্য, এম-এ	কেতকাদাস ক্ষেমানন্দ রচিত মনসামঙ্গল পুঁথির পরিচয়	২৩
স্বামী বিবেকানন্দ	প্রবুদ্ধ ভারতের উদ্দেশে	২৬
অধ্যাপক শ্রীসুবর্ণকমল রায়, এম্‌-এস্‌সি	রসায়নে পেরাসেলসাস্‌ হেলমো, বয়েল, হুক্‌, মেয়ো	২৮
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	৩০
শ্রীমতী প্রীতিময়ী কর	ত্যাগধর্ম্মে স্বামী বিবেকানন্দ	৩৫
	ইলোরা ও অজন্তার পথে	৩৭
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	৪২
অমরেশ দত্ত	ছোট গল্প	৪৫
স্বামী জগদীশ্বরানন্দ	জাপানে খ্রীষ্টধর্ম্ম	৪৮
	সমালোচনা	৫২
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৫৫
	বিবিধ সংবাদ	৫৬
