লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	ভাব-ধারা	১
ভগিনী দেবমাতা	দুঃখের বন্ধুত্ব	৪
শ্রীদেবব্রত চৌধুরী, বি-এ	ভারতীয় শিল্পের ভূমিকা	৭
স্বামী নির্বাণানন্দ	ধর্ম্মপ্রসঙ্গে শ্রীশ্রীমহারাজ	১১
ব্রহ্মচারী অমূল্যকুমার	বর্ষ প্রভাত	১৪
শ্রীজিতেন্দ্রনাথ সরকার	জাগ্রত জাপান	১৬
অধ্যাপক শ্রীনিত্যগোপাল বিদ্যাবিনোদ	স্বপ্নতত্ত্ব	২০
শ্রীদেবেন্দ্রনাথ চট্টোপাধ্যায় বি-এ, কাব্যতীর্থ	শ্রীশ্রীরামকৃষ্ণ ও কামকাঞ্চন বর্জ্জন-রহস্য	২৩
শ্রীননীবালা দেবী	প্রকৃতির মন্দিরে	২৫
স্বামী প্রেমঘনানন্দ	গ্রন্থাগার আন্দোলন	২৬
স্বামী সুন্দরানন্দ	দক্ষিণ-ভারতের পথে	৩১
শ্রীবলাই দেবশ্ররম্মা	মহাভারতীয়-সভ্যতা	৩৫
স্বামী নির্লেপানন্দ	জাতীয় উদ্বোধন	৩৮
সিষ্টার ক্রিস্টিন	স্বামী বিবেকানন্দ	৪৪
	মাধুকরী	৪৬
	সমালোচনা	৪৯
	শ্রীরামকৃষ্ণ-সঙ্ঘ-বার্ত্তা	৫২
	শ্রীরামকৃষ্ণ শতবার্ষিকী-সংবাদ	৫৪
	শ্রীরামকৃষ্ণ মিশন-দুর্ভিক্ষা ও বন্যা সেবাকার্য্য	৫৫
