লেখক	বিষয়	পত্রাঙ্ক
শ্রীবিবেকানন্দ মুখোপাধ্যায়	আহ্বান	৫১৩
	শ্রীশ্রীমায়ের কথা	৫১৪
ডাঃ শ্রীদুর্গাপ্রসাদ ঘোষ, বি-এ, এম্‌-বি	চন্ডী	৫২৪
শ্রীসুধীরচন্দ্র চাকী	কামাখ্যা কূট	৫৩৩
স্বামী সিদ্ধানন্দ	লাটুমহারাজের সংক্ষিপ্ত জীবনী	৫৩৫
শ্রীঅঞ্জিতনাথ সরকার	সংসার	৫৪১
অধ্যাপক-ডাঃ বিধুভূষণ রায় এম্‌ এস্‌-সি,ডি-এস্‌ পি	প্রবাসীর পত্রাংশ	৫৫৪
	মাধুকরী	৫৬৪
	গ্রন্থ-পরিচয়	৫৭৪
	সঙ্ঘ-বার্ত্তা	৫৭৫
