লেখক	বিষয়	পত্রাঙ্ক
স্বামী মধুসুদনানন্দ	শ্রীরামকৃষ্ণ মাহাত্ম্য	৬৫
শ্রীক্ষিতীন্দ্রনাথ ঠাকুর	অঞ্জলি	৬৬
অধ্যাপক শ্রীঅরুণপ্রসাদ বন্দ্যোপাধ্যায়, এম্‌,এ	স্বামী বিবেকানন্দের স্মরণে	৬৮
শ্রীঅঞ্জিতনাথ সরকার	সংসার	৭৫
'পূর্ণকাম'	সাধুর ডায়রী	৮১
শ্রীরাধারমণ সেন	বর্ণ বিভাগ	৮৭
শ্রীঅহিভূষণ দে চৌধুরী	বৈদিক অধিকারী রহস্য	৯১
তিনু	পঞ্চবটী	৯৯
শ্রীসাহাজী	শঙ্কর ও চৈতন্য	১০০
শ্রীব্রজেন্দ্রলাল গোস্বামী	দুঃখের ভিতর সুখ	১০৫
স্বামী চন্দ্রেশ্বরানন্দ	স্বামী প্রেমানন্দ	১১২
	মাধুকরী	১২০
	গ্রন্থ-পরিচয়	১২৪
	সঙ্ঘ-বার্ত্তা	১২৭
