লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	স্বামী বিবেকানন্দের নেশন-গঠন-প্রণালী	১১৩
শ্রীবিধুভূষণ চক্রবর্ত্তী, বি-এ,বি-টি	"মোর কাছে রহ" (কবি Lyteএর "Abide With Me" কবিতার অনুবাদ)	১১৮
মহামহোপাধ্যায় পন্ডিত শ্রীপ্রমথনাথ তর্কভুষণ	বাঙ্গলায় অদ্বৈত ভাবধারা	১১৯
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ্‌, পি-আর্‌-এস্‌	উনবিংশ শতাব্দীর মধ্যভাগে বাংলা সাহিত্য	১২৪
শ্রীদিলীপকুমার রায়	পত্র	১২৮
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতি-সঞ্চয়ন	১৩০
শ্রীযতীন্দ্রমোহন ভট্টাচার্য, এম্‌-এ, তত্ত্বরত্নাকর	বাঙলা অভিধানের উপাদান	১৩৭
অধ্যাপক শ্রীগৌরগোবিন্দ গুপ্ত	শ্রীশ্রীরামকৃষ্ণ ভাবামৃত (তৃতীয়োল্লাস)	১৪২
স্বামী অপূর্বানন্দ	কৈলাস ও মানস-সরোবর	১৪৭
স্বামী গম্ভীরানন্দ	সাম্প্রদায়িকতা ও প্রাদেশিকতা	১৫৪
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	১৫৮
	শ্রীরামকৃষ্ণ মঠ ও মিশন-সংবাদ	১৬৩
	বিবিধ সংবাদ	১৬৬
	রামকৃষ্ণ মিশন যক্ষা-নিবাস	১৬৭
