লেখক	বিষয়	পত্রাঙ্ক
	শ্রীরামকৃষ্ণ-জন্ম-স্তোত্রম	৩৮৫
শ্রীতারিণীশঙ্কর সিংহ	সাধনা ও তাহার ক্রম	৩৮৭
শ্রী্যতীন্দ্রমোহন বন্দ্যোপাধ্যায়	জীবন রহস্য	৩৯৩
স্বামী সিদ্ধানন্দ	লাটুমহারাজের সংক্ষিপ্ত জীবনী	৪০২
শ্রীমহেন্দ্রনাথ দত্ত	শ্রীমৎ স্বামী বিবেকানন্দের জীবনের কয়েকটি ঘটনাবলী	৪০৭
শ্রীব্রজেন্দ্রলাল গোস্বামী	দেশের দুঃখ	৪১২
শ্রীসাহাজী	ধনি-দরিদ্র-সমস্যা ও তাহার সমাধানের উপায়	৪১৯
শ্রীবিহারীলাল সরকার	কতিপয় দর্শনের সংক্ষিপ্ত বিবরণ	৪২৭
স্বামী চন্দ্রেশ্বরানন্দ	ব্রতধারীর মহামিলন	৪৩৬
	মাধুকরী	৪৩৭
	গ্রন্থ-পরিচয়	৪৪১
	সঙ্ঘ-বার্ত্তা	৪৪৩
