লেখক	বিষয়	পত্রাঙ্ক
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	ব্রহ্মানন্দ কেশবচন্দ্র	৬৪১
স্বামী সুন্দরানন্দ	আচার্য্য কেশবচন্দ্র	৬৪৩
	স্বামী শুদ্ধানন্দজীর পত্র	৬৫০
স্বামী রমানন্দ	আমাদের মাতাঠাকুরাণী	৬৫১
শ্রীচিন্ময় চট্টোপাধ্যায়, এম্‌-এ	দেশের বর্ত্তমান সমস্যা ও স্বামী বিবেকানন্দ	৬৬০
শ্রীজগৎশান্তি চৌধুরী	নীরেট পাথর	৬৬৭
স্বামী জগদীশ্বরানন্দ	আচার্য্য কেশবচন্দ্রের কথা	৬৬৮
শ্রীগোকুল-	শ্রীশ্রীমাতাঠাকুরাণী	৬৭৮
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	৬৮৫
	সমালোচনা	৬৯০
	পরলোকে আচার্য্য ব্রজেন্দ্রনাথ শীল	৬৯২
	সংবাদ	৬৯৩
	বাংলা ও উড়িষ্যায় রামকৃষ্ণ-মিশনের সেবাকার্য্য	৬৯৬
