লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	শ্রীরামকৃষ্ণের অবদান	৪৯
লতিকা ঘোষ, বি-লিট্‌ ( অক্সন ), ডিপ্‌-এড্‌	(লণ্ডন)	মাতৃপরিচয়	৫৪
বিজয়লাল চট্টোপাধ্যায়	রোমা রল্যাঁর দৃষ্টিতে বিবেকানন্দ	৫৫
শ্রীবিনয়ভূষণ সেনগুপ্ত	ধ্বংসের বীজ	৫৮
অধ্যাপক শ্রীঅনন্ত কুমার ন্যায়-তর্কতীর্থ	ব্রহ্মলক্ষণবিচার	৫৯
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	৬৩
শ্রীমতী সাবিত্রী নাথ, এম্‌-এ,সরস্বতী	প্রলয়দেব	৬৬
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	৬৭
অধ্যাপক শ্রীঅক্ষয়কুমার বন্দ্যোপাধ্যায়,এম-এ	অপ্রমেয়	৭৬
স্বামী শ্রদ্ধানন্দ	ব্যাথা	৮৩
স্বামী প্রণবাত্মানন্দ	বাত্যাবিদ্ধস্ত কাঁথি	৮৪
স্বামী প্রজ্ঞানানন্দ	ভারতীয় সঙ্গীতের কথা	৮৮
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৯২
	বিবিধ সংবাদ	৯৩
	রামকৃষ্ণ মিশনের সেবাকার্য বিবরণ ও আবেদন	৯৫
