লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১
	কথাপ্রসঙ্গে	২
স্বামী জীবানন্দ	বিবেকানন্দস্তোত্রম	১০
ডক্টর প্রণবরঞ্জন ঘোষ	বিবেকানন্দ-সাহিত্যে হাস্যরস ঃ 'পত্রাবলী'	১১
শ্রীমতী প্রীতিময়ী কর, ভারতী	শুভ পঞ্চমীতে	১৭
শ্রীমতী বাসন্তী মণ্ডল	স্বামীজী	১৮
স্বামী শ্রদ্ধানন্দ	নদী বহে	১৯
স্বামী মধুসূদনানন্দ	জীবনবন্ধু	২১
শ্রীঅমূলপদ চট্টোপাধ্যায়	সংখ্যার সাহায্যে অদ্বৈতবাদ	২২
ডক্টর প্রাণরঞ্জন সেনগুপ্ত	জাতিগঠনে স্বামী বিবেকানন্দের ভাবধারা	২৩
শ্রীধনেশ মহলানবীশ	অনন্যশরণ	২৫
ডক্টর জলধি কুমার সরকার	এন্‌কেফালাইটিস্‌ ও জাপানী এন্‌কেফালাইটিস্‌	২৬
স্বামী চণ্ডিকানন্দ	মাতৃসঙ্গীত	২৮
স্বামী অমৃতত্বানন্দ	মানসপুত্র	২৯
স্বামী মুমুক্ষানন্দ	স্বামী বিবেকানন্দ ও শ্রীরামকৃষ্ণ প্রচার	৩১
	সমালোচনা	৩৩
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৩৪
	বিবিধ সংবাদ	৪০
	উদ্বোধন, ১ম বর্ষ, ৯ম সংখ্যা	৪১
পণ্ডিত প্রমথনাথ তর্কভূষণ লিখিত	আচার্য্য শঙ্কর ও মায়াবাদ	৪১
শ্রীগিরিশ চন্দ্র ঘোষ	সংকীর্ত্তন	৪২
পণ্ডিতবর প্রমথনাথ তর্কভূষণানুবাদিত	ভগবদ্‌গীতা শাঙ্করভাষ্যের বঙ্গানুবাদ	৪৪
