লেখক	বিষয়	পত্রাঙ্ক
শ্রীজগদিন্দু বাগচী	উদ্বোধন	১
বিবেকানন্দ	স্বামী বিবেকানন্দের পত্র	২
শ্রীকালীরঞ্জন লাহিড়ী	ভারতীয় ধর্ম্মে বিবেকানন্দ	৪
শ্রীজগদিন্দু বাগচী	বিবেক-বন্দনা	১০
শ্রীরাজেন্দ্রনাথ ঘোষ	শূদ্রের ব্রহ্মবিদ্যায় অধিকার বিচার	১৩
শ্রীসুরেন রায়	ওমার-প্রসাদ	২২
শ্রীশিবচন্দ্র দত্ত , এম-এ	জিজ্ঞাসা	২৯
নিখিলানন্দ	পৃথিবীর শান্তি-সমস্যায় ভারতের দান	৩০
বাসুদেবানন্দ	জগৎ-কারণ-ঈশ্বরকৃষ্ণ ও শঙ্কর	৩৮
শ্রীভূমানন্দ	তুচ্ছ-কথা	৫৩
শ্রীইন্দুভূষণ চট্টোপাধ্যায়	স্বামী বিবেকানন্দ ও তাঁহার বাণী	৫৮
শ্রীঅরীন্দ্রজিৎ মুখোপাধ্যায়	বিবেকানন্দ	৬২
ধ্র‍ুব	ঋণ-শোধ	৬২
	সংঘ-বার্ত্তা	৬৩
