লেখক	বিষয়	পত্রাঙ্ক
স্বামী শুদ্ধানন্দ	পূজার্ঘ্য	৫৮
শ্রীগিরিজাশঙ্কর রায় চৌধুরী, এম-এ,বি-এল	শ্রীরামকৃষ্ণ পরমহংসদেব	৬২
স্বামী বিবেকানন্দ	শ্রীশ্রীরামকৃষ্ণ	৬৭
প্রিন্সিপাল শ্রীঅসিতকুমার হালদার	ভারত-শিল্প	৬৭
শ্রীকেদারনাথ বন্দ্যোপাধ্যায়	জয় শ্রীরামকৃষ্ণ	৭১
পন্ডিত শ্রীরাজেন্দ্রনাথ ঘোষ, বেদান্তভূষণ	পরমহংসদেব কি অবতার?	৭৫
শ্রীসাবিত্রীপ্রসন্ন চট্টোপাধ্যায়	শ্রীরামকৃষ্ণ	৮৯
শ্রীবেণীমাধব বড়ুয়া, এম-এ, ডি-লিট্‌ (লণ্ডন)	ত্রিরত্ন ও বৌদ্ধ শরণাগতি	৯০
শ্রীকুমুদরঞ্জন মল্লিক, বি-এ	শ্রীশ্রীরামকৃষ্ণ	১০৪
শ্রীহরদয়াল নাগ	শ্রীশ্রীরামকৃষ্ণ পরমহংসদেবের শতবার্ষিকী জন্মোৎসব	১০৫
পণ্ডিত শ্রীক্ষিতিমোহন সেন শাস্ত্রী। এম-এ	মধ্য-যুগে সহজ ও সেবা	১০৭
স্বামী নির্ব্বেদানন্দ	পথের আলোক	১১৮
শ্রীকুমুদবন্ধু সেন	শ্রীশ্রীরামকৃষ্ণ	১২২
স্বামী অখণ্ডানন্দ	ভগবান শ্রীরামকৃষ্ণ	১২৫
রায় শ্রীজলধর সেন বাহাদুর	প্রিয়দর্শী	১২৫
অধ্যাপক শ্রীবিনয়কুমার সরকার	রামকৃষ্ণের কিস্মৎ	১৩১
মহামহোপাধ্যায় পণ্ডিত শ্রীপ্রমথনাথ তর্কভূষণ	পরমহন্সদেবের বৈশিষ্ট্য	১৩৬
শ্রীবিভুতি বন্দ্যোপাধ্যায়, বি-এস্‌-সি	যুগান্তরের জয়গান	১৪২
অধ্যাপক শ্রীধুর্জ্জটিপ্রসাদ মখোপাধ্যায়, এম্‌-এ	কথা ও সুর	১৪৩
শ্রীহরিদাস মৈত্র, এম-এ	শ্রীশ্রীঠাকুরের লোক-শিক্ষা	১৫৫
শ্রীমতিলাল রায়	যুগাবতার শ্রীরামকৃষ্ণ	১৬২
অধ্যাপক শ্রীঅমূল্যচরণ বিদ্যাভূষণ, এম-এ	প্রাচীন ভারতের সংস্কৃতি	১৬৬
অধ্যাপক মুহম্মদ ষীদুল্লাহ, এম্‌-এ, বি-এল্‌, ডিপ্লো-ফোন্‌, ডি-লিট	প্রেমের পথে	১৭৫
অধ্যাপক শ্রীমোহিতলাল মজুমদার, এম-এ	শ্রীরামকৃষ্ণ-বিবেকানন্দ	১৭৭
অধ্যাপক শ্রীসাতকড়ি মুখোপাধ্যায়, এম-এ, পি-এইচ্‌-ডি	আত্মার অমরত্ব বা পরলোকবাদ	১৮৭
শ্রীরামানন্দ চট্টোপাধ্যায়	পরমহংস রামকৃষ্ণ	১৯৮
স্বামী সুন্দরানন্দ	ভাব-ধারা	২০১
শ্রীতনিমা সেনগুপ্ত, এম্‌-এস্‌-সি	ভৈরবী-শ্রীরামকৃষ্ণ-বিবেকানন্দ-নিবেদিতা	২১১
শ্রীমণীন্দ্রভূষণ গুপ্ত	শিল্প	২১৭
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	যুগযুগান্তের রামকৃষ্ণ	২২০
শ্রীবলাই দেবশর্ম্মা	শ্রীশ্রীরামকৃষ্ণ-যুগ-বিভুতি	২২১
স্বামী বাসুদেবানন্দ	সাধনা ও পরিণাম	২২৬
ব্রহ্মচারী অমূল্যকুমার	তরুণের নমস্কার	২৩৩
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম-এ	সাহিত্য ও সমাজ	২৩৫
স্বামী নির্লেপানন্দ	বিদ্যাতত্ত্বে শ্রীরামকৃষ্ণ-জীবন	২৩৮
রায় শ্রীখগেন্দ্রনাথ মিত্র বাহাদুর	ভগবান রামকৃষ্ণ	২৪৭
শ্রীনলিনীকান্ত গুপ্ত	উপনিষদের সুন্দর	২৪৯
স্বামী ত্রিগুণাতীত	শ্রীমদ্‌ রামকৃষ্ণাবতার স্তোত্রম	২৫২
ডাঃ শ্রীহেমচন্দ্র রায় চৌধুরী, এম-এ, পি-এইচ্‌-ডি	ভারতের "পোরাণা পকিতী"	২৫৩
শ্রীতামসরঞ্জন রায়, এম্‌-এস্‌সি, বি-টি	অবতার-প্রসঙ্গ ও শ্রীরামকৃষ্ণদেব	২৫৬
শ্রীসতীশচন্দ্র দাসগুপ্ত, এম্‌-এসসি	শ্রীরামকৃষ্ণ	২৬০
অধ্যাপক শ্রীঅক্ষয়কুমার বন্দ্যোপাধ্যায়, এম্‌-এ	হিন্দু দর্শন	২৬২
শ্রীঅনাথবন্ধু মুখুপাধ্যায়	শ্রীরামকৃষ্ণের কোষ্ঠী-বিচার	২৬৮
ডাঃ শ্রীরমেশ চন্দ্র মজুমদার, এম্‌-এ, পি-এইচ্‌-ডি	যুগাবতার রামকৃষ্ণ পরমহংস	২৭৫
শ্রীঅনুরূপা দেবী,বি-এ	হিন্দুনারীর ভবিষ্যৎ	২৭৯
স্বামী শিবানন্দ	শ্রীরামকৃষ্ণ	২৮২
শ্রীব্রজেন্দ্রকিশোর রায় চৌধুরী	ভারতীয় সঙ্গীতের বৈশিষ্ট্য	২৮৭
অধ্যাপক শ্রীনিত্যগোপাল বিদ্যাবিনোদ	ঠাকুর শ্রীরামকৃষ্ণ	২৯১
অধ্যাপক শ্রীগোকুলদাস দে, এম্‌-এ	সংঘের শিক্ষা	২৯৫
অধ্যাপক শ্রীসুনীতিকুমার চট্টোপাধ্যায়, এম-এ, ডি-লিট্‌	সমন্বয়-মুর্ত্তি	২৯৮
