লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	শক্তি-সাধনা	৩৯৩
রায়সাহেব শ্রীবিপিনবিহারী সেন	শ্রীরামকৃষ্ণদেবের পুণ্যস্মৃতি	৩৯৯
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	শরতের আবাহন	৪০১
মহামহোপাধ্যায় শ্রীপ্রমথনাথ তর্কভুষণ	বাঙ্গালীর অদ্বৈতবাদ	৪০২
রেজাউল করীম, এম-এ, বি-এল	ধর্ম্ম-সমন্বয়	৪০৭
শ্রীকুমুদরঞ্জন মল্লিক	দক্ষিণেশ্বর	৪১১
আচার্য্য প্রফুল্লচন্দ্র রায়, কে-টি, সি-আই-ই, ডি-এস্‌-সি	বাঙ্গালীর ভবিষ্যৎ	৪১২
অধ্যাপক শ্রীকামিনীকুমার দে, এম্‌-এস্‌-সি	বিজ্ঞানের ভিত্তি ও আপেক্ষিকতাবাদ	৪২০
শ্রীব্রজেন্দ্রকিশোর রায় চৌধুরী	প্রাচীন ও হিন্দুস্তানী সঙ্গীতের সম্বন্ধ	৪২৪
স্বামী রমানন্দ	ধর্ম্ম ও সমাজ	৪২৭
স্বামী প্রেমঘনানন্দ	আগমনী	৪৩৩
শ্রীদ্বিজেন্দ্রনাথ ভাদুঢ়ী, কবিরত্ন, বি-এ	চলে খেলা-থামে না যে!	৪৩৪
শ্রীযতীন্দ্রমোহন ভট্টাচার্য্য, এম্‌-এ, তত্ত্বরত্নাকর	মৈথিল কবি ও তাঁহাদের কাব্য-পরিচয়	৪৩৫
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	প্রাচ্য ও পাশ্চাত্য দর্শনের সংঘাত	৪৪৩
শ্রীসাবিত্রীপ্রসন্ন চট্টোপাধ্যায়	সেবাধর্ম্ম	৪৪৬
অধ্যাপক শ্রীবটুকনাথ ভট্টাচার্য্য	সাগরপারের স্বর্ণযুগ	৪৪৭
শ্রীমণীন্দ্রভূষণ গুপ্ত	শিল্প ও সমাজ	৪৫৬
শ্রীরামেন্দু দত্ত	হংস-বৃত্তি	৪৫৯
ডক্টর বিমানবিহারী মজুমদার, এম্‌-এ, পি-আর্‌-এস্‌, পি-এইচ-ডি, ভাগবৎরত্ন	রামপ্রসাদের সাধনা	৪৬০
অধ্যাপক শ্রীশম্ভুনাথ রায়, এম্‌-এ	হিন্দুর শিক্ষা ও জীবন ধারা	৪৬৫
অধ্যাপক শ্রীনগেন্দ্রনাথ চক্রবর্ত্তী, এম্‌-এ	কাব্য-রসের অন্তর-রহস্য	৪৬৮
অধ্যাপক শ্রীদয়াময় মিত্র, এম্‌-এ	অজানা দেবতা	৪৭৪
অধ্যাপক শ্রীঅক্ষয়কুমার বন্দ্যোপাধ্যায়, এম্‌-এ	শক্তিপূজা	৪৭৫
শ্রীকুমুদবন্ধু সেন	উৎকলে দুর্গোৎসব	৪৮৩
স্বামী জগদীশ্বরানন্দ	ভগবান বুদ্ধের কথা	৪৮৬
স্বামী নির্ব্বেদানন্দ	'আমি'র সন্ধানে	৪৯০
দিলীপকুমার	তরণী	৪৯৩
স্বামী ত্যাগীশ্বরানন্দ	বোধগয়া ও সারনাথ	৪৯৪
শ্রীক্ষিতিমোহন সেন	রাম ও তাঁহার চরিত	৫০১
শ্রীমতী অপর্ণা দেবী	পুজারিণী	৫০৫
শ্রীপঙ্কজকুমার মুখোপাধ্যায়, এম্‌-এ, বি-এল্‌	সাংখ্যের ঈশ্বর ও পুরুষ	৫০৬
অধ্যাপক শ্রীউপেন্দ্রচন্দ্র তর্কাচার্য্য, সপ্ততীর্থ	শ্রীজগন্মাতৃপূজা	৫১০
শ্রীবিনয় কুমার সরকার, এম্‌-এ, বিদ্যাবৈভব (কাশী), ডক্‌টর (তেহারাণ)	বঙ্গ-সংস্কৃতির দিগ্‌বিজয়	৫১৪
	সংবাদ	৫২২
	রামকৃষ্ণ-মিশনের বন্যা-সেবাকার্য্য	৫২৭
