লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	শ্রীরামকৃষ্ণের দান	৫৭
শ্রীঅনিলবরণ রায়	যজ্ঞের অমৃত	৬২
অধ্যাপক শ্রীবিপিনকৃষ্ণ ঘোষ, এম-এ	প্রেমিক	৬৪
রাজা শ্রীপূর্ণেন্দু গুহরায়	রামকৃষ্ণ	৭৩
রায়বাহদুর শ্রীঅমরনাথ রায়, বি-এ	'অলাতশান্তি প্রকরণে'র উপক্রমোপসংহার	৮০
শ্রীরমণীকুমার  দত্তগুপ্ত, বি-এল্‌	বিশ্বশান্তি সমস্যা	৮৩
শ্রীসত্যেন্দ্রনাথ জানা, বি-এল	স্বামী বিবেকানন্দের বন্দনা	৮৯
স্বামী ত্যাগীশ্বরানন্দ	জল-পথে নিম্নব্রহ্মে	৯০
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	৯৮
	সমালোচনা	১০২
	স্বামী ব্রহ্মস্বরূপানন্দজীর তিরোধান	১০৫
	সংবাদ	১০৬
	বেলুড় মঠে শ্রীরামকৃষ্ণ-মন্দির	১১২
